,a
25956602,b7e3809847653195b6b50938bc6dbb1a45c5e4c3	SOKUECJ12A6D4F6129	1
13366190,e4a2c42fca8a357d75b097ab0e149eaf3eeb1d8d	SOSTURE12A8C13512E	1
17950833,f22e40a29f3342661bd0845fe19a5e2c1c208bde	SOSJDQJ12A8C13D4A9	1
34529694,c10c61e57b8b31315f7c7a6c8ea72cc64f36ec9a	SOPOTMH12A58A7F739	1
10918955,73db3f91323a8989a83b886d56dae7c4b5e9f924	SOIMXTJ12A8C1430E5	2
4388868,b1ba62fe9c09f92bf348e5738fc0dc4fc4c0239a	SOEBPXF12A8C14295A	1
5732447,62ad7ad380cfcd3b3459d0b8b1a414412ff7336e	SOREPNQ12A58A7B49E	1
29918990,e6324c8c830b214e6b51e1aeb53a1e77e7b46ef8	SOJTSOG12A8C13D673	2
29592867,e2a7a43adc8974e7c3f5020aa8ae2c9bc7b5543e	SOKKLYU12A6D4F8F1C	6
24725939,3b98aa47b4a5fe0b4a231f52f6498626f4ae264e	SOJTLHC12A6D4F7FFE	7
16367723,58699b27af3a28b50c044eb4c0cbda64dac6b2d2	SOJBZVF12AC3DF5728	2
13062861,116ee229c2b9533cb0c6fd33e673c525376a66ce	SOLLNTU12A6701CFDC	1
34120810,1a16e1193d094ad8f827dc638861184c21ba2e73	SOKIOOC12AF729ED9E	1
14043624,76009bc45e877989d618815d2cfa8c674beb35f8	SOOLCWH12AB0185691	7
11970405,b3aee3660417857194cdeeef3c1801db759c463a	SOVFKTX12AB017FE27	1
7133362,6fde462f69ebb85466b925b2e87e56330ab69937	SOKDHKQ12A6D4F7CEA	4
15945236,c84e66291de301cd14710c4a88dd08d4760259a2	SOHTKMO12AB01843B0	1
41710455,3f057d2ece561299442f3a408c68df05855e5558	SOWUMYV12A58A7E2AC	1
12610719,ce0962e2225b19482787b3183c60f26944d78ccb	SOYWLHH12AB0182579	1
16576911,a544a01eef4dd2e174fbb0559b4b42019c856bbd	SOZZEID12A58A7AB89	1
3766215,69f59cd07dac7087eb0fc705dff913e304fe7086	SOFDPZD12A6701F464	1
34716150,2dc680627857887b710d6a667b5989887a6d9c79	SOECLAD12AAF3B120A	1
6564227,4a1c75d6eb3dd0b1d1d13a05fae9410cfa43afe7	SOCJAMC12A8C13F245	1
33780599,cab05af46d87d64537280899bcbbd12d105f8d5a	SOLXVTW12AB0186A1B	1
2431718,d55f32ab972c9974ccf1801daaa4f6b854d340d0	SOHJRPT12A6D4FA1F1	3
28318545,3fdbe7d8a5ee755c0f2ba10e583bce613cbb8923	SOOPOWN12A6310E2A3	2
35521707,5ac29cb829255e54a4340dca8abebf2d181be9cd	SOEXZOM12A6D4F740F	2
27849307,0444cbd999d822baa4dbfeadd4c4b8b78f03daa8	SOYCEUD12A6D4FC2AE	1
6516685,659291ef75a415a5936f0b13ce051c0425b84d7c	SORWHWI12AB017C10B	5
15939599,4c53327440fe531103ad366f3f91916cc7eb9afc	SOAOQSY12A8C139550	4
21285747,4d254977630dc0edeac7683c9c0802efc40ca9ec	SOXMKZH12AB017FC5E	1
8614334,6ccd784c7120277d9927f9b65c3cdff9cd90133b	SORSGEA12AC468E6C2	2
35236909,bcd13cb15f4038db49d200755cee689959520e88	SOSPXWA12AB0181875	1
12660818,1f62d5ff0a7c6fd2cbac4475337cc311890408df	SOXNNAE12A6D4F7BC1	2
41352636,47befb805a5330875e517c2e1ba7acb6ef6b641f	SOKZTHA12A8C134830	1
5843751,bfecc1661ed8ad0bd2059d535f027014a9f9b81f	SOTKWNM12A8C145B71	2
21472030,b9e37bef8d62f148e26c420e25322acb093d0ab8	SOHXAKV12AB01884E2	1
9862763,bc181591cc549caec26acd38a88c5bd40991727e	SOTLSTC12A8C142B6B	1
40851592,2a7a8cfaa599ca57fb63cf2bfd25d5ae9a92d5dd	SOPDGTQ12A6701C8B7	1
14135564,151ffa3175ba484d5ce3a37bd2e840dbb9bf4376	SOTXXBT12A6D4F6B25	4
43019025,86bbe3429bf21fea550bedc42dfd3419b86141ac	SOZAPQT12A8C142821	1
23608732,d2405e72206b08b016418451aeb53fb0f7bdec1f	SOXYWRN12A8C13B7D2	1
4895881,5acf31272a74cc0b6e4283bdbf8cbcd4b89bbad8	SOHLHSS12A6D4F662A	1
26669011,5373ae0761f3103b5b72ad4dd5f236cb852eb4ce	SOWPUTS12A81C22477	1
48205205,4eb0642651e2e3ddd1b0af90eab82e100feb2405	SORKONW12AC90716C4	1
3227173,4715508eee3ac4978b50f9a3554b6560c2661251	SOQPCPQ12A8C143935	1
45978544,f409781168d23eab4d56bddcea03d68f4d705fd0	SOFPPKW12A58A7CEB5	2
21491143,9c83e6303fb01a5cd78d25f803a71bc813c6e4ac	SOSHGDV12AB0180B58	1
33524663,11e1dd1c74e935f8e0ade483558a32e6089b13f1	SOBJKOT12AB0189275	1
43864542,cc68dd1e4643c2f6506d79ad9a873a65cae51da4	SORQHNK12A6D4FA1C1	5
2871565,927ecb20bbcb8d70bce3d5329d4babb2f7f9adf2	SOFROOV12A67020901	1
43636836,ec24f1de7a197ef13963e2b83e53d8f1ebd01e2a	SOWHYDX12A67020161	1
6242066,128801eff19f39bb2a63b59e01d2071156a7e15c	SOZPUFV12A6D4F5740	2
41954329,974a05be3d2385f40af4e6e610be59544657085e	SOFGTNO12AB0182A9F	2
29641117,16ebc874d609dd761408f69016e4c871ace1e369	SOHZDIQ12AB018606A	9
30158512,417b7bfd6a8508c8c1c984cdbf5edf585091bec2	SOMNXML12A6D4F8386	3
2852930,62f0367b45bbdccb5dc84884c322f91d4d201b19	SOSPMAL12A6D4F74E1	1
10266510,e0c7b295052f0e260ba9fc9720b525cf7ca12f5b	SOHDIBK12A6D4FB0A0	1
9744993,ff4de4a9965f531ceb318bd921611b1fce830c42	SOYHCDQ12AF729F998	1
22483668,4c3a2f5fadca03ce101b203f710b15cd7ce646ce	SOECHZJ12AB018E261	1
4777982,07a47b2447b93baccc7e5e87105ab477398fcc68	SOTYYBQ12AB0189E59	17
7678464,dca6927f962f3817656055044a56ac96b59289fc	SOZSZTY12A8C13B693	1
42489458,5b5819a4af6c429de7707e957b3a1982f74e2fa4	SOZPRNU12A58A7B1CF	3
34025121,7d92186ff9cfe74ff0a0481aa2b64645bf44b9ed	SOAXHYC12A8C13D3B5	1
4276477,7911d4d172918be2533571d53c844d59a9a2a0c5	SOUMOMJ12A6701DFDC	1
48193195,8098937cdb33243e8c1811bb1a1681c67ce3179f	SOGGKKC12A6D4F7F80	3
29134428,ce8668886982fe6d4514f849b7fc6089731ceb87	SOMTWFZ12AB0184E46	1
29309301,25b1fc7b3d2dcb93099f96893bdf838b60124ce8	SOGPNGN12A8C143969	3
35443857,2ee4d555aad259939c01e3db2a2155ac20843c8a	SOTGNYL12AF72AB3F8	1
11325662,20398da97ac883f24194e639d5b5711cab8416bc	SOHTCED12A8C13FD7D	1
6678978,26bdffccc8db9111d20e8f293bc274ad9dc4c8ff	SODCXVC12A8C139446	2
8000598,41c9ebcdb04a93f7eaff1a94483c7dd3b2bc4be9	SONNEHU12A8C132C0B	1
29418048,34f1457dcea9b00c5a217c8ce7aa01d461409b45	SOJMYEY12A6D4FB3EB	7
33084975,e21a20daafba3fe884534cdd96820f0c2df5c7bd	SOOJJCT12A6310E1C0	1
1476163,c9929c492e1af316c915a2e261d0121894da6092	SOQCUZZ12AB017C413	1
1045268,06b70e5f183a6d157c5b470801a2fc2183b33487	SOPPLJW12A8C13FD59	2
1288886,a961658c8ce4e65fa21174364db448928198603a	SONCIJD12AB01814BC	1
30760472,54e20a96f28523632c8ab320e92547d732489d98	SOSPMAL12A6D4F74E1	4
41575415,0bbcdb7395584023701b598cd24df92379963c25	SOPJNTG12A58A79D52	2
41428903,7b4c4f9d0c2957d01d57781487be3c02a8995c7d	SODZIST12A8C131C95	1
31403647,aea36355c465d9c948239e313b51d410a01e76c7	SOEGIYH12A6D4FC0E3	1
41696418,f232227e360a1a1a9c6df2707cb49648230f59d4	SOPEOGA12AB017B694	7
19441146,38cdca8c24477f79b5f50b1216d2fc1ad7bf3a3a	SOVSPCM12A67ADE7A8	7
26888755,5a658a1cf46567649bf252cd093bfb904741cfae	SOCKEZU12A58A7B58F	1
16882797,6591c18f2c9ddd56136c1437bcf20bc549e8b359	SOOFYTN12A6D4F9B35	1
19838147,7733065b55f80ccec2950720518178436c6635d4	SORBBFV12AB017D710	1
39133269,fd68ca859ef9bd82192b822a752457dc94ad9a3f	SONGIXY12A58A7BB42	1
30362104,36ab6e9aea7eafa66ae3aec33e5dbbd9b87167d5	SOMTUKD12A8C13DFA2	1
30088563,7a6135000c7b3011f5941764cb5d5e6b88c4884a	SOWFCYW12A58A79ED6	2
10846463,d218e301d9541145c5bbcfadfe58ce05742b49e0	SOCIRNW12A6D4F5948	2
30991515,bbb6b10a74e9e690695c5ebfb909ffe9192e3d45	SOTOAAN12AB0185C68	22
1837716,17d2fae3215c96230ab6511be7181f5c86513370	SOCFCLA12A67AE0E26	1
16375289,5c6a257f8d79b2532444d73ddcd7907bbd61d246	SONKJKS12AB01877EC	1
34850429,a688a9578e41a7bced82d05c6bf712d473a30df1	SOCFTJO12AB018CF2D	1
44468675,4b5fb4a314acffe9a09fc627054305acfa4fb63f	SOPXWHX12A6701EAF5	1
18310275,2e120db01ae5fe085752360acbd554600608a249	SOFKUHX12AB01864D3	1
16751743,3c71bbaec3cb479888ed05873fe55746aac12e97	SOWEHOM12A6BD4E09E	1
18736662,428cdbdbfc296d4d3e0c39b46f435c41e4b0ef97	SOKKURP12A8C13BC00	1
40418785,8a07f53a6738d26e388bf1db9168cb17894e645a	SOBONKR12A58A7A7E0	1
12330369,3289fe3ce44cb4687505c523dd498fa5a2cff23a	SOFPZCI12A58A7CF79	1
2071808,ae00099ed0a208e7e70acd6223e45f001808c611	SOFQFWN12A58A7A84E	4
40968008,f6957c7c116b0f7916e07e6ac8205d926bf898cf	SOJYVKF12AB0185BAF	1
41828171,65caebfc36b97dbfb7ef2a85f4142b3f556e1607	SOXCIER12AB0183172	2
45608334,2fc95f1ce299df6d50db2af502b4db6fe44a183b	SOPCVIN12A58A78FAA	1
38454690,c44214f940f2cdf230cc6b40884516fae69cf6df	SOPAXFR12AF729EFD8	1
9002153,480c6bd703ee688804438fce60d5004df9679b20	SOIPUUA12AB01886C2	1
20221536,2ad6024a097ec2703ec786a6d38ba8ac92fc2753	SONIQRE12AF72A2B02	1
36081158,39617225169ac8e073257b6200f51de0c4fc9349	SOEZBJN12A8C13CE48	1
39789054,bf0daed2f812023e5261944d6fc2093cff876da6	SOJPFPR12AB018109D	1
13031412,b17e5c995c7089ea3169da462179a96033404d4f	SOVDLZN12AB0185BEA	1
22392873,3f9a057a76df941d79dbea1fa83938a21c63e18d	SOEBPPM12AB0187E1C	3
17549756,974dfd5445ef6683b3b76086b517ff43443861f5	SOJEXLF12AB0188CD7	1
17009179,ae18ecec7499ca66a4df4758298ef0de4abca50e	SOTQKVD12AB018B386	1
7452161,b8d0c807a7e864514196e7b96e6a9a98cf01d3d4	SOEENXJ12AF72A1AA0	1
47145329,91d7b5b56d7210526c5bbb527541abc04a256c40	SOAEIDT12AF729DCF8	1
42965303,ba25af37d697e00e33de8e9ee316b13dfd2a9451	SOKTIGJ12A8C134D66	5
35856770,f3ee60228ef70e325863ecab88be37ed7931cbd3	SOKDAYO12A8AE45ABB	1
26986690,2f10442c737684fde569081b3f824b3abd9860bb	SOBVTVL12A8C1422D7	1
29352947,477356138c76724918371ca8ecab9f117f6c5dd7	SOXXPVF12A8C13E5EB	1
44737697,eb04d189ccbf0c7526a544d6a6be9aa6258ca49e	SOPTLQL12AB018D56F	1
39364274,91facc0a062279e337166ccb3eaa788bf1b32e67	SOZMLEG12AC468B502	2
47611566,49f0b63ec3d1dfe8db31fdb33163cfc19aadbabb	SOIGMPQ12A8C13330C	4
7081308,7d54fb77f9660567bcd03a7c1cdfddd4fa5ba215	SOIMYQB12A8C135A7E	1
22534271,460dc7c58fcb56918585c00cec56732194a9126b	SOFROGM12A8C136F19	3
43474383,a7e70263566d2f947722acfe5c66013be831508d	SOJYMBF12A58A7E245	1
47364429,d71c46fb0172287c8381a9c9dc67369843b5552b	SODZVOZ12A6D4F7CFF	2
35994699,7c944fd99b11bcd9eca5c0ed71a975ecd0149a6c	SOYPWKK12A8C136494	5
10786785,4961f424971a08ee5907938d1c16933358d37495	SOAAWEE12A6D4FBEC8	2
36671023,b93fcdacd72fe8043e8accc704782c9e68e69ad8	SOFLMUK12A8C132CDC	1
1485197,11654cf6887e1548908f27b89e86c12dc72d8a27	SOZVCIJ12A8C140991	1
39944894,40e18511b2d373b1f383f3dab1fddab16aa3862d	SOPBTDA12A58A7B7C3	2
44449108,06f4060b24f1795d2bc47a6c98d88aeb5471906d	SOOPSEG12AB018729F	1
19028724,0f88f8c9facf901f6856d6554a9c31b2b3d15c05	SOAJAFJ12A58A7B75A	2
40861183,8b6884effa110b0c1d42bb9bf475d76658e6760d	SOZGSXE12AB0185C68	1
23610983,c06a6f4491099e61eaefeb43f7d97b82b30cc109	SOUKXIN12A8C133C7F	12
21394608,5a134dec9dbe6c154334f42fb09561ed402bd021	SOLNZIU12AB01896D2	2
27609847,74a8e26b8d1f4989132dfe619e84ec2d47e817e2	SORJWUX12A6D4F8EBB	7
44891886,918723ea22f07a63726a1c5b86859796e20ef8a8	SODAJWB12A8C13BE3E	12
8960804,89abb40892f1ae1b1177239d1000ac6ab312dac5	SOFVGPP12A8C141FA6	1
12870583,7a9dab355fee7346b8c80d8d56c1f92119b8bfee	SOPXAZO12A6D4F7D94	1
40555015,60f093b9620f5aa3ea9bdc4eddca6b781dfe840f	SOUJIKE12A6D4F64B0	1
30103772,9bdf405c985c7514a80f42c9ac94dc444a7e6d19	SOBBUDN12A8C142E49	1
48282033,15de06e9448b2f7db7931c556eaeae1447de5dbc	SOIRUXQ12A8C133060	3
21706446,720bcbe571a5cdc0976305a69e05df5f4ea23ee1	SOHBVLJ12A6D227263	1
29425346,3cd99bb95d2baac1e910a5c847e58388d5e9b3c1	SOEBXLX12A8C13C4A5	1
8385837,f197adacf91791eba0fe2d182931c600e026ddd0	SOTSHYT12A8C142868	1
17572479,b07085d57671d5841b86b5a742548a7f536d3587	SOLKAPF12A6D4F71F2	1
7375786,3c95ecd60fa62cacc28eb42fc84043632d398c02	SOEGXLI12AB018A228	3
40100265,00d4825ae65889e300f774c89e878b21d7810a7a	SOCZGWX12A8C1446E0	1
13035034,37b37638d01e3b613edb7f71c8a42976a8fcc2c0	SOTCMDJ12A6D4F8528	6
30901964,bc1f2aafaa554eddbe21997ef0caaf46ae31672c	SOCATDE12A67AE0269	1
40609968,9ad3d0c2e7be3160c90cee7d6889a3ba6540ba0b	SOGWFDB12A8C141C10	3
48157854,8e6469c0765d42bb2c2e2224b2a208a627468413	SOQSQFT12AF72A84E3	1
44640734,0db9dcba144876645e5e603077adefcfc8919c29	SODEOCO12A6701E922	1
29443737,6d11127e5249d6cb5fba2ff4fbfa8d352d629ec6	SOTRBHF12A8C142F20	1
1971666,e35cd39df4a37db2768d5a80132ca8a4090f4195	SOBJCFV12A8AE469EE	1
46365179,9b688fec0f9fcc909fefc9fa15cbfabaf3c87c7f	SOYFEZY12A67AE0A65	1
38241156,445f9218c772c782126faf8eaea59f2f04b5d40c	SODLXUO12A8C1335B2	17
3250199,986bcb60b9f237afa668ddff0026bb6ce971c827	SOCKSGZ12A58A7CA4B	1
46749939,f12208cf43a7f84b26336413fc38f646d98d8fa8	SOOTRAI12A6D4FD71B	1
36818529,47f3584e66c4a247901edba3d380c6d98b087cb1	SORXEGM12A81C222BB	5
14358082,3f74b81e66a15d569733e921be9afdfba97c88ed	SOXCFSI12AB0186053	2
17298008,f1ca7f523d291b5eaaca4f8e82996cfc81d8608e	SOLLHAY12A6D4F8696	1
24989388,ac34b6ab5876a6281ee944eb4c0d985076b0556b	SOBWSGV12AB018B5E0	4
2403353,bb4aa82fa344a831541d96c3ba49554091b1cef6	SOXUHFP12A67AD7413	2
1113762,3edb2e4137a964384b7533f42f39fcf4fe4a9c9d	SOWNAQE12A6D4FA814	2
45645583,5a7cacaa5d8664bc4d3fa1a59831d85e3eda05b9	SORZGRJ12A58A7BDFF	1
1602116,e0a7290697f40284e7c8f33f9430a0e916d2ec29	SOFWMNN12A8C13C3F2	2
11153653,009157c1425acbb07ad2dfb00340223ad1cc9d56	SONTNHB12A8C1391D6	1
41378875,71c3a628a86ecd14d3c46fd7ba7b0d9ba1811de5	SOCUYYO12AB0187211	1
29124982,dbd47b5277c52c2fe20f3450f090c0c8d1aafd12	SOPKQHS12A81C21AD6	3
26050805,e4b30e729768a8329d8e4eedf78e3eb21743c97c	SOHNVHC12A6D4F95AB	4
4298450,cfa09559db84af9ba8ecb40c41bffad4bcfb3e2c	SOODBHY12A6D4F878E	3
685863,c2c986ccd4518970f3bbff07f0e7e6fd8d7414c6	SOJZCCI12A8151BD4B	1
8448970,908bb85b01b54c04d5083675906885c957870170	SOZRIAR12A8AE457FD	1
32343390,d9e8170eaab5d8e4d2a60364925296f1acc2f27d	SOMAQJR12A6D4F9200	1
42664889,8683ec79a514b1697675e4bf646d246ef8d8f52c	SOJQKCE12A67020846	1
30875533,1f31c60ccacb93278643d56571b33808c28ffdfb	SOMLQGF12AB0184C2A	4
7195808,2e5d90b96c01e39b9227a5a2d09e839104e17c2b	SOIZFTE12AB0186842	56
8677339,162f7b4a3253841f4ff00c630701aee9955fc3fa	SOTQLVJ12A6D4F5E62	1
44728609,9fb4585c1965d4044b5033f47bfa640ae8e3fbc7	SOTBTNN12A8C13896C	5
20249084,3fe8d7b8a29fc8a8592e8b905997ca0599796e86	SOSMYQF12A6D4F570D	5
11054108,1b19d5a07d4f38999cba621480c20e8fb28bd46a	SOQJCXL12AB018CF5B	1
39374763,6effebfdb402c30e680df68ef530678f73ad3efe	SOIILBW12A8C13AD8D	1
8149579,ed875e86b60f938193e7c85d5a34248489f50fb7	SOLFANH12AC468C47A	4
34023078,b858dd41ebb265a3294ca47d442491dc6c89427a	SOERZBH12A8C137B67	2
12522966,e4d605f6da8e63642d60e5b239de0d613eada611	SOBRRIR12A6D4F5FAF	1
37216306,8354cb32b8e6cc18cf4197fff60689eae537e013	SOISWTV12A8AE47783	1
17188774,72bc40076c2fb840143ba9590fea5ca0ae99b8be	SOKUIFQ12A6701DD74	1
4273975,964d571199923e4e90fc99ba63dceb60e30048d5	SOLTZEN12A8C13901A	1
4045709,44f8bc7b9fd058a075dc7f59c2b9f213f77efda8	SOOTEHH12AB0184AFE	1
25130091,0ffa899d9af09a9493fba3d6621231b442be75cd	SOFLBFI12B0B806DE1	1
9414173,c77080ba1ad5156ba13b8e00a12fd307f1d1489f	SONQGRN12AF729DAB6	2
26255529,f13bb32926f5f981458688f14c3e0288b4f60ebe	SODVWWX12AB0187C0F	39
25753705,eafd67fb16cec2e848fec14b0fccb4797df9be63	SOGWPZK12AB01882DA	4
18180202,736df2f0a2fab3b28ed5d8c49723c24b84fc6293	SOCBKSJ12A679C8085	1
15853920,b60c1069f3626dac9a0a80ce04bb1900a5d05198	SOKMZNR12AB017DE9E	11
377856,fdfc6ad2709761a0a66e4f9f4d1329df8b9f73d2	SOULQNY12A8C1337F6	4
28017866,49fa46a99be42d392be2f92b4b06c54763c7e7f5	SOTGZIH12A8C1428A5	1
34859998,e0d2bc27eacf6c1c2b3aee6205c7cae99b4d3b84	SOMESIV12A6D4FC6F2	4
38146815,1426450a211a05936e2856b4ca3dc8a975c730f4	SOVZQTB12A6D4F966D	2
37783255,3c2bcc36a553f437f3a1b017e0cc2a31fad16595	SOKGICR12AB0189D40	5
2962651,59c0490020bc11ff3c8db9d9c0a3afa6d4364075	SOXEMMW12A6D4F3E1C	1
2756961,6524f17f97fa331dc5752c2aaa3a233b82662669	SOKMHKY12AF72AB079	1
19423796,dba1124380ee2604abcd167858e40c882ce25fda	SONTYCN12A8C13D37C	1
17299496,1d2d0e6a272d0562235a450452a7889d6a0f473d	SODDESI12B34F1C69C	6
33396653,7ee3e8b9eea40ec7fb0e3e391cf28b705002aaa7	SODYMJB12A8C141FD4	2
36674848,c44f31815839d0924a786ec5f4fdc202a0cea4dd	SOGXYWB12A8C132B72	1
7758079,a170e05ebd19e0ed044eaaf7cab338bdeb833796	SOTCMDJ12A6D4F8528	1
42293939,09382f3f54cfc61f560f3d7fa31041f8e9a59beb	SOLWHDY12A6310DFE5	2
20340099,19251a7240ac31e402f36bd810c61387fd4ea23d	SOPOLQH12A8C13CDEC	11
183332,02cd198c502763939921a6ca46d8cb4a1b5b0b62	SOVHKJL12AB017E2B2	3
18610383,8c153478da50f600be056cea7ce4efcbcf6a3e5d	SOBIJVB12A6D4F9B2D	1
40081154,90da1593082950018f927bb4002075c4fc72e455	SOHMSPV12AB0185643	1
7099729,147e8232d01ecc914e30e0eaf9284b49c53c9335	SOPDIDL12A58A7ABF0	1
33237908,226d72089d8afc3c81bf6fa21a21c9537506a215	SOTXEXP12AB0188DF5	5
23471698,1a486453b638c02cd7c0cf5d3c37479e0b4b8570	SOFWLRF12AB017F405	8
1431361,5f15708e8791afa2fed88fcac9a89acdb8f636d7	SOOLKLP12AF729D959	1
38009811,3c24e1f3fb53f9595e62dce29ae73eb1936c40b1	SOUVTSM12AC468F6A7	2
500212,00e8e9302991535b5d4c01e3a6abfe5d8bfe2db4	SODEKWG12A8C134DC1	1
6484999,13a0c9241009ff5debc8a6872b536f8ce5b32ef6	SOANKKC12A6310F346	1
8555629,1959a2b6a15af47ed61d54480d884311e3e0c87e	SOVPUIO12AB01872E4	1
6136675,21220f302e265fc128f02fc33722cc99e3f05ea6	SOMUOWU12A58A7CD1F	1
8702818,55bbbcaba705f4a2476f1d66e25c4866250766d0	SOVYNGI12A6310F180	1
10826272,9d0a2cdb90bdd992a4cbc4c95d1d1ed6cfd528d2	SODTYUA12A6D4FA885	28
42937292,e2cca8c2509b265775d68810cea2c4f900bfca64	SOPPXKG12AF72A832F	1
20366331,cef50faaa977e3ec77501b3f6d4625074725fd46	SOPQLBY12A6310E992	1
46785425,44eff6bc6c457edc87cabe10c6dfdc5a5febf3e2	SOJROPC12A6D4FBA2E	2
7493906,513556ecf207caf2b51176e853b9198a6d6f2380	SOLFXKT12AB017E3E0	4
42110747,29fa42ea2e4d9523bca70d010b13877db4815aa4	SOQLFVE12AB017E74E	1
18195167,ab9e1667cf4c9775b3e3bd69607aaea2593474a7	SOFRBUK12A67AD80D7	1
28405442,0902469df67cb241d28d23a6d294f0dd4707517a	SONVPTP12A6D4F7A34	8
34012296,6ab3ba6bf95a562e3ebfc94dc6e44ff0fb52b5f4	SOGKGON12AC4688B5B	1
38486826,03ebb8fbf83e25970f149bb9ee3638055919820c	SOUEDPR12A8C13C3C8	1
12227270,04f49f06f4e1e4738b44767d96679ee7c2f21072	SOBPQBI12A8C143600	1
21436527,439723c539c81a1b531e422eb506af85731b7a8f	SOAIILB12A58A776F7	1
26899870,92aad1af70f4b61ba00bcacd07c0c705db969182	SOTQGEG12A6D4F8CF7	1
6848374,1f8a1e99d8c2f25e836091018d579ab5c4d3ba34	SOUNZHU12A8AE47481	1
33105057,cae89ffbdffb37caf41a42482a755aba6d7e47a1	SOWEJXA12A6701C574	2
6297915,5af2527350515c63db37c88f9e71c76deb9819a9	SODRKYR12A8C137196	1
20533790,73e2fddf26a0e8f3c473b0c8790c3fd463e5cbd0	SOXUJHP12A6D4F57A9	1
44221583,c4b0c9bf28cd8f40f117df7d45ca767a5ffd21fb	SOIGZJU12AB017DB46	2
27986444,ff9f4e6a735fef82adea44107c9bb16282977351	SOAXGDH12A8C13F8A1	3
4409500,796bb249039d40aae0f1a0e3d123403b29a5dd4c	SOGRVMJ12AB0181D06	1
8344948,4263205e55e83529b5656fdbc406cd6309becb97	SOVMCAR12AF72A1268	1
8267394,9106d7d6a27837ab08611bb09b5f97565ac4d4dd	SOBOMOX12AB017F9CF	18
36247041,73c5e6a2ce34097bda3c70491a84ede5b09996b2	SORBAAK12A6D4F97BC	1
12916589,3cd10e37b21c17b7943e2c729e8243395d21aa66	SOHDDBB12AF72A1CCB	1
19834278,57f29b595b12fea39877c88a3e25a04a79b72729	SOUSQCN12A8C133302	7
18715371,777c86fd52f3b4f7c316ba97c8dc037b887539b0	SORBIPR12A81C210EA	1
23484502,14bec5c90d6810c50509283def8d8ed6fbba1eb8	SOFTZNN12A81C209EA	1
5504045,2346c80ffbdf5e230fdf9bf007b4ea9ab786bbf2	SOXDMTH12A58A80709	1
34537551,b9548127d41a1ce6b1b537f54b317b671b970770	SOSNMLG12A58A7C899	5
2743090,75042f1b6f817d3113b36fcc2aee0d658d75b83b	SOGQEAD12A6D4F877B	1
37629421,0b8d46a95d789ac0e1585f18da35c70372593724	SOICWDW12A6D4F97D8	3
29048005,fc9319a3d7ccf86f9dd59206148811d9df3cbb4b	SOUVNRQ12AF72A0BB9	1
30457767,0d02eb0a58dcaa7dd6974f0526ce19279259240f	SOXUWEA12A8C144E14	1
46999786,c7795e6f9486d576f3e38f77da88ff8e733671a2	SOKBOTR12A67ADE318	1
43122160,5d66681676ffee917912f36f323a4c346cd45748	SOIAXFY12A6D4FA9B5	1
37518675,d936af13ca6b719f5588ddd9e5689faf2480b15e	SOODSBN12A6D4F63EF	1
33657693,f1a744fa63c9438eb87f032141153e32e15b6c38	SOGOVIF12A58A78DCE	2
27191817,5c667c1b6248c7ed37060ef691cc315c2b55bc8b	SOBGJGO12A8C130948	6
8219669,9c2b0990abb321b2c45072cc889a7f4639887303	SOAGLRX12A6D4F822B	7
41283150,672450c19731b9f32b712745735ff559aa574f94	SOYEOCD12AF72A192E	2
5674775,2e2ee5562e3a01da943a63c7fd219c63c4d658e9	SOLGLUC12AB018A8FA	2
14396947,1bd59588f6255e26d9a83612dae4a6211f5ecd61	SOZACMG12A6D4F68E1	8
34124668,7e90ca0f7d4f734a78a9efe7efb287b106fb9356	SOZLIOT12AC3DF97E0	1
21005089,da7a89d66b40139eebb3434103176b2a31a9bb33	SOAEKQS12A67AE0287	2
706706,c318ddd591a720dc16917b6d214a011ecd90cafe	SOBONKR12A58A7A7E0	1
14017045,da601154a4be9f1283e31b3943f05fe96763ace1	SOVWADY12AB0189C63	1
3029738,ce2dc26cd1de55eee47bb73bdf118c1613eaeff7	SOYMEMS12A6702047B	1
6691847,d2e5600a13c22d0601b0280063d93d98e253f407	SOUIEPJ12A6D4FAAF6	1
38052302,5d58dbeaf8c2ece2744c1691b01d8d0f45380bf8	SORJVDO12AF72A1970	7
38935090,f242e1a542206b8d4d215e27e366a2ef2656fe79	SORZCTH12A6D4FB0BD	25
9670557,a9cc34c835ca55eb95999455c440b1f049e9feda	SOJYFST12A6D4F9DE8	2
27734708,20349fdd18b65a11462a01d512ca79b001000c6e	SOWWOJD12A6D4F9D9A	1
35258895,def62fe51dae34dd517365910fdc79eaeba73b96	SOXAGEC12A6D4F705E	2
28593411,8f173b5c352b41c45627cfbbe66c91dda68e2b72	SOVPGFT12A8C143613	1
435612,34fca7f0183906be9d47085c4167718bb8bd20c6	SOHTHLP12A58A7EF54	5
981033,85948a1b622bf48481856aa55759b521823dde2c	SOGHKDW12A8C142C9A	16
26527654,472a7c8fa98130dfe672dcd74d966f526548706d	SOZGOFA12AB0182B23	4
39680280,22cc514136839c757496e58a5dabf215587aef7b	SOQWHFM12A8C138FF8	1
19970230,4fbc2eeca9029e2dbe1c4844bf96652b0062a50f	SOJTGSK12AB017D9D6	1
24519458,e7be040850b9a919661e26caffd98a2d17aa317a	SOTGCVG12A67021630	1
19447230,9e07a15580c6176dee69d4dd2e3a9e515e01c296	SOANQFY12AB0183239	1
